Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Nativeness,Nativeness Tags,Abundance,NPS Tags,Park Tags,Internal Park Tags,References,Observations,Vouchers,ExternalLinks,T&E,State Status,Ozone,GRank,SRank
GOGA,Golden Gate National Recreation Area,Mammal,1,Artiodactyla,Antilocapridae,95067,180717,Active,Antilocapra americana,pronghorn,,Accepted,No,Approved,Not In Park,Historical,Native,,,,,,561974,,,,,,,G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Artiodactyla,Cervidae,671613,-744879,Inactive,Cervus elaphus nannodes,tule elk,Cervus elaphus,Accepted,No,Approved,Not In Park,Historical,Native,,,,,,561974,,,,,,,G5T3,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Artiodactyla,Cervidae,891878,898547,Active,Dama dama dama,,,Accepted,No,In Review,Present,,Unknown,,,,Subunit: Giacomini,,,14114950,,,,,,,
GOGA,Golden Gate National Recreation Area,Mammal,1,Artiodactyla,Cervidae,891968,898457,Active,Odocoileus hemionus columbianus,,"Odocoileus hemionus columbianus, Odocoileus hemionus",Accepted,No,Approved,Present,,Native,,Common,Breeder,Subunit: Giacomini,,"161595, 20169, 36079, 551859","14115070, 202605",1013057,"http://www.inaturalist.org/observations/591611, http://www.inaturalist.org/observations/593288, http://www.inaturalist.org/observations/593608, http://www.inaturalist.org/observations/593736, http://www.inaturalist.org/observations/595458, http://www.inaturalist.org/observations/596200, http://www.inaturalist.org/observations/596514, http://www.inaturalist.org/observations/597276, http://www.inaturalist.org/observations/597775, http://www.inaturalist.org/observations/598692, http://www.inaturalist.org/observations/599768",,,,,
GOGA,Golden Gate National Recreation Area,Mammal,1,Artiodactyla,Suidae,95073,180722,Active,Sus scrofa,wild pig,,Accepted,No,Approved,Present,,Non-native,,Occasional,Management Priority,,,"161595, 20169, 551859",,,,,,,G5,
GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Canidae,86124,183815,Active,Canis familiaris,domestic dog,,Accepted,No,Approved,Present,,Non-native,,Unknown,Management Priority,,,"161595, 20169, 551859",,,,,,,,
GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,coyote,,Accepted,No,Approved,Present,,Native,,Uncommon,Management Priority,,,"161595, 4232, 551859",,,"http://www.inaturalist.org/observations/586860, http://www.inaturalist.org/observations/591605, http://www.inaturalist.org/observations/594664, http://www.inaturalist.org/observations/595626, http://www.inaturalist.org/observations/598804, http://www.inaturalist.org/observations/598967, http://www.inaturalist.org/observations/599082, http://www.inaturalist.org/observations/600127",SC,,,G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Canidae,631377,726803,Active,Canis latrans ochropus,,,Accepted,No,In Review,Present,,Unknown,,,,Subunit: Giacomini,,,14114920,,,,,,,
GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,gray fox,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,"145019, 161595, 20169, 551859",,,http://www.inaturalist.org/observations/591608,,,,G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Canidae,633250,726901,Active,Urocyon cinereoargenteus townsendi,,,Accepted,No,In Review,Present,,Unknown,,,,Subunit: Giacomini,,,14114980,,,,,,,
GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,red fox,,Accepted,No,Approved,Present,,Non-native,,Rare,,Subunit: Giacomini,,551852,"14115170, 202603, 202604",,,,,,G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Felidae,86104,183798,Active,Felis catus,Domestic Cat,Felis silvestris,Accepted,No,Approved,Present,,Non-native,,Unknown,Management Priority; Breeder,Subunit: Giacomini,,"161595, 20169, 551793, 551859",14114960,,,,,,GNA,
GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,bobcat,"Felis rufus, Felis rufus californicus, Lynx rufus californicus",Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,Subunit: Giacomini,,"145019, 161595, 49654, 551859",14114850,1441987,"http://www.inaturalist.org/observations/592789, http://www.inaturalist.org/observations/597275, http://www.inaturalist.org/observations/598987",RT,,,G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,mountain lion,Felis concolor,Accepted,No,Approved,Present,,Native,,Rare,"Management Priority; Breeder, Vagrant",Subunit: Giacomini,,"2223902, 80720","14115060, 14255670",,"http://www.inaturalist.org/observations/595469, http://www.inaturalist.org/observations/598962, http://www.inaturalist.org/observations/599925",,,,G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,striped skunk,,Accepted,No,Approved,Present,,Native,,Common,Breeder,Subunit: Giacomini,,"161595, 20169, 551859",14115250,,"http://www.inaturalist.org/observations/595551, http://www.inaturalist.org/observations/600126",,,,G5,CA: SNR
